"Tmax_Maxima","Tmax_fld_m","Tmax_R","Tmax_ACC_R","Tmax_Minima","Tmax_Media","Tmin_Maxima","Tmin_ACC_V","Tmin_R","Tmin_ACC_R","longitude","Chuva_ACC_V"
96.1302418096002,96.3349206915138,111.548633237489,67.5308629904815,93.305540892044,81.9359404759155,87.414740586885,72.1838587595703,81.8582756046516,129.506900408581,98.9028636068304,93.305540892044
89.7640163939013,89.968695275815,105.18240782179,61.1646375747827,86.9393154763451,75.5697150602167,81.0485151711862,65.8176333438715,75.4920501889528,123.140674992882,92.5366381911316,86.9393154763451
89.7640163939013,89.968695275815,105.18240782179,61.1646375747827,86.9393154763451,75.5697150602167,81.0485151711862,65.8176333438715,75.4920501889528,123.140674992882,92.5366381911316,86.9393154763451
89.7640163939013,89.968695275815,105.18240782179,61.1646375747827,86.9393154763451,75.5697150602167,81.0485151711862,65.8176333438715,75.4920501889528,123.140674992882,92.5366381911316,86.9393154763451
96.6559311069803,96.8606099888941,112.074322534869,68.0565522878618,93.8312301894242,82.4616297732958,87.9404298842653,72.7095480569506,82.3839649020318,130.032589705961,99.4285529042106,93.8312301894242
89.7640163939013,89.968695275815,105.18240782179,61.1646375747827,86.9393154763451,75.5697150602167,81.0485151711862,65.8176333438715,75.4920501889528,123.140674992882,92.5366381911316,86.9393154763451
96.2789122021936,96.4835910841073,111.697303630082,67.679533383075,93.4542112846374,82.084610868509,87.5634109794785,72.3325291521638,82.0069459972451,129.655570801174,99.0515339994239,93.4542112846374
89.7640163939013,89.968695275815,105.18240782179,61.1646375747827,86.9393154763451,75.5697150602167,81.0485151711862,65.8176333438715,75.4920501889528,123.140674992882,92.5366381911316,86.9393154763451
100.2521562519,100.456835133813,115.670547679788,71.6527774327809,97.4274553343433,86.0578549182149,91.5366550291844,76.3057732018697,85.980190046951,133.62881485088,103.02477804913,97.4274553343433
95.6936199417083,94.4127927050627,106.133553056475,88.4521993361497,93.305540892044,89.3745160567914,92.8466980673305,84.5304497341808,91.4598199280718,94.5191460143348,97.3693505342862,93.305540892044
89.3273945260095,88.0465672893638,99.7673276407761,82.0859739204509,86.9393154763451,83.0082906410926,86.4804726516317,78.164224318482,85.093594512373,88.152920598636,91.0031251185874,86.9393154763451
89.3273945260095,88.0465672893638,99.7673276407761,82.0859739204509,86.9393154763451,83.0082906410926,86.4804726516317,78.164224318482,85.093594512373,88.152920598636,91.0031251185874,86.9393154763451
89.3273945260095,88.0465672893638,99.7673276407761,82.0859739204509,86.9393154763451,83.0082906410926,86.4804726516317,78.164224318482,85.093594512373,88.152920598636,91.0031251185874,86.9393154763451
96.2193092390885,94.9384820024429,106.659242353855,88.97788863353,93.8312301894242,89.9002053541717,93.3723873647108,85.0561390315611,91.9855092254521,95.0448353117151,97.8950398316664,93.8312301894242
89.3273945260095,88.0465672893638,99.7673276407761,82.0859739204509,86.9393154763451,83.0082906410926,86.4804726516317,78.164224318482,85.093594512373,88.152920598636,91.0031251185874,86.9393154763451
95.8422903343018,94.5614630976561,106.282223449068,88.6008697287432,93.4542112846374,89.5231864493849,92.995368459924,84.6791201267743,91.6084903206653,94.6678164069283,97.5180209268797,93.4542112846374
89.3273945260095,88.0465672893638,99.7673276407761,82.0859739204509,86.9393154763451,83.0082906410926,86.4804726516317,78.164224318482,85.093594512373,88.152920598636,91.0031251185874,86.9393154763451
99.8155343840076,98.534707147362,110.255467498774,92.5741137784491,97.4274553343433,93.4964304990908,96.96861250963,88.6523641764802,95.5817343703712,98.6410604566342,101.491264976586,97.4274553343433
95.6257009844807,92.9256397834615,96.4745824949461,63.9424905601084,93.305540892044,94.819125910287,92.6427679230135,82.336927903345,96.8567610701775,133.071849976706,97.5227018415407,93.305540892044
89.2594755687818,86.5594143677627,90.1083570792473,57.5762651444096,86.9393154763451,88.4529004945881,86.2765425073147,75.9707024876462,90.4905356544787,126.705624561007,91.1564764258418,86.9393154763451
89.2594755687818,86.5594143677627,90.1083570792473,57.5762651444096,86.9393154763451,88.4529004945881,86.2765425073147,75.9707024876462,90.4905356544787,126.705624561007,91.1564764258418,86.9393154763451
89.2594755687818,86.5594143677627,90.1083570792473,57.5762651444096,86.9393154763451,88.4529004945881,86.2765425073147,75.9707024876462,90.4905356544787,126.705624561007,91.1564764258418,86.9393154763451
